date,salesperson_key,monthly_target
2024-11-30,10,1630000
2024-11-30,11,1600000
2024-11-30,12,1500000
2024-11-30,13,1250000
2024-11-30,14,1230000
2024-12-31,1,1400000
2024-12-31,2,1330000
2024-12-31,3,1270000
2024-12-31,4,1220000
2024-12-31,5,970000
2024-12-31,6,1850000
2024-12-31,7,1800000
2024-12-31,8,1760000
2024-12-31,9,1590000
2024-12-31,10,1690000
2024-12-31,11,1660000
2024-12-31,12,1550000
2024-12-31,13,1300000
2024-12-31,14,1270000
2025-01-31,1,1260000
2025-01-31,2,1200000
2025-01-31,3,1150000
2025-01-31,4,1100000
2025-01-31,5,880000
2025-01-31,6,1670000
2025-01-31,7,1620000
2025-01-31,8,1590000
2025-01-31,9,1440000
2025-01-31,10,1530000
2025-01-31,11,1500000
2025-01-31,12,1400000
2025-01-31,13,1170000
2025-01-31,14,1150000
2025-02-28,1,1240000
2025-02-28,2,1180000
2025-02-28,3,1130000
2025-02-28,4,1080000
2025-02-28,5,860000
2025-02-28,6,1650000
2025-02-28,7,1600000
2025-02-28,8,1560000
2025-02-28,9,1410000
2025-02-28,10,1500000
2025-02-28,11,1480000
2025-02-28,12,1380000
2025-02-28,13,1150000
2025-02-28,14,1130000
2025-03-31,1,1260000
2025-03-31,2,1190000
2025-03-31,3,1140000
2025-03-31,4,1090000
2025-03-31,5,870000
2025-03-31,6,1660000
2025-03-31,7,1620000
2025-03-31,8,1580000
2025-03-31,9,1430000
2025-03-31,10,1520000
2025-03-31,11,1490000
2025-03-31,12,1390000
2025-03-31,13,1170000
2025-03-31,14,1140000
2025-04-30,1,1260000
2025-04-30,2,1200000
2025-04-30,3,1150000
2025-04-30,4,1100000
2025-04-30,5,880000
2025-04-30,6,1670000
2025-04-30,7,1630000
2025-04-30,8,1590000
2025-04-30,9,1440000
2025-04-30,10,1530000
2025-04-30,11,1500000
2025-04-30,12,1400000
2025-04-30,13,1170000
2025-04-30,14,1150000
2025-05-31,1,1270000
2025-05-31,2,1210000
2025-05-31,3,1160000
2025-05-31,4,1110000
2025-05-31,5,880000
2025-05-31,6,1690000
2025-05-31,7,1640000
2025-05-31,8,1600000
2025-05-31,9,1450000
2025-05-31,10,1540000
2025-05-31,11,1510000
2025-05-31,12,1410000
2025-05-31,13,1180000
2025-05-31,14,1160000
2025-06-30,1,1260000
2025-06-30,2,1200000
2025-06-30,3,1150000
2025-06-30,4,1100000
2025-06-30,5,880000
2025-06-30,6,1670000
2025-06-30,7,1620000
2025-06-30,8,1590000
2025-06-30,9,1430000
2025-06-30,10,1520000
2025-06-30,11,1500000
2025-06-30,12,1400000
2025-06-30,13,1170000
2025-06-30,14,1150000
2025-07-31,1,1260000
2025-07-31,2,1190000
2025-07-31,3,1140000
2025-07-31,4,1090000
2025-07-31,5,870000
2025-07-31,6,1670000
2025-07-31,7,1620000
2025-07-31,8,1580000
2025-07-31,9,1430000
2025-07-31,10,1520000
2025-07-31,11,1490000
2025-07-31,12,1400000
2025-07-31,13,1170000
2025-07-31,14,1140000
2025-08-31,1,1250000
2025-08-31,2,1190000
2025-08-31,3,1140000
2025-08-31,4,1090000
2025-08-31,5,870000
2025-08-31,6,1660000
2025-08-31,7,1610000
2025-08-31,8,1580000
2025-08-31,9,1420000
2025-08-31,10,1510000
2025-08-31,11,1490000
2025-08-31,12,1390000
2025-08-31,13,1160000
2025-08-31,14,1140000
2025-09-30,1,1270000
2025-09-30,2,1210000
2025-09-30,3,1160000
2025-09-30,4,1110000
2025-09-30,5,880000
2025-09-30,6,1690000
2025-09-30,7,1640000
2025-09-30,8,1600000
2025-09-30,9,1450000
2025-09-30,10,1540000
2025-09-30,11,1510000
2025-09-30,12,1410000
2025-09-30,13,1180000
2025-09-30,14,1160000
2025-10-31,1,1310000
2025-10-31,2,1240000
2025-10-31,3,1190000
2025-10-31,4,1140000
2025-10-31,5,910000
2025-10-31,6,1730000
2025-10-31,7,1680000
2025-10-31,8,1650000
2025-10-31,9,1490000
2025-10-31,10,1580000
2025-10-31,11,1550000
2025-10-31,12,1450000
2025-10-31,13,1210000
2025-10-31,14,1190000
2025-11-30,1,1350000
2025-11-30,2,1280000
2025-11-30,3,1230000
2025-11-30,4,1170000
2025-11-30,5,940000
2025-11-30,6,1790000
2025-11-30,7,1730000
2025-11-30,8,1700000
2025-11-30,9,1530000
2025-11-30,10,1630000
2025-11-30,11,1600000
2025-11-30,12,1500000
2025-11-30,13,1250000
2025-11-30,14,1230000
2025-12-31,1,1400000
2025-12-31,2,1330000
2025-12-31,3,1270000
2025-12-31,4,1220000
2025-12-31,5,970000
2025-12-31,6,1850000
2025-12-31,7,1800000
2025-12-31,8,1760000
2025-12-31,9,1590000
2025-12-31,10,1690000
2025-12-31,11,1660000
2025-12-31,12,1550000
2025-12-31,13,1300000
2025-12-31,14,1270000
2026-01-31,1,1260000
2026-01-31,2,1200000
2026-01-31,3,1150000
2026-01-31,4,1100000
2026-01-31,5,880000
2026-01-31,6,1670000
2026-01-31,7,1620000
2026-01-31,8,1590000
2026-01-31,9,1440000
2026-01-31,10,1530000
2026-01-31,11,1500000
2026-01-31,12,1400000
2026-01-31,13,1170000
2026-01-31,14,1150000
2026-02-28,1,1240000
2026-02-28,2,1180000
2026-02-28,3,1130000
2026-02-28,4,1080000
2026-02-28,5,860000
2026-02-28,6,1650000
2026-02-28,7,1600000
2026-02-28,8,1560000
2026-02-28,9,1410000
2026-02-28,10,1500000
2026-02-28,11,1480000
2026-02-28,12,1380000
2026-02-28,13,1150000
2026-02-28,14,1130000
2026-03-31,1,1260000
2026-03-31,2,1190000
2026-03-31,3,1140000
2026-03-31,4,1090000
2026-03-31,5,870000
2026-03-31,6,1660000
2026-03-31,7,1620000
2026-03-31,8,1580000
2026-03-31,9,1430000
2026-03-31,10,1520000
2026-03-31,11,1490000
2026-03-31,12,1390000
2026-03-31,13,1170000
2026-03-31,14,1140000
2026-04-30,1,1260000
2026-04-30,2,1200000
2026-04-30,3,1150000
2026-04-30,4,1100000
2026-04-30,5,880000
2026-04-30,6,1670000
2026-04-30,7,1630000
2026-04-30,8,1590000
2026-04-30,9,1440000
2026-04-30,10,1530000
2026-04-30,11,1500000
2026-04-30,12,1400000
2026-04-30,13,1170000
2026-04-30,14,1150000
2026-05-31,1,1270000
2026-05-31,2,1210000
2026-05-31,3,1160000
2026-05-31,4,1110000
2026-05-31,5,880000
2026-05-31,6,1690000
2026-05-31,7,1640000
2026-05-31,8,1600000
2026-05-31,9,1450000
2026-05-31,10,1540000
2026-05-31,11,1510000
2026-05-31,12,1410000
2026-05-31,13,1180000
2026-05-31,14,1160000
2026-06-30,1,1260000
2026-06-30,2,1200000
2026-06-30,3,1150000
2026-06-30,4,1100000
2026-06-30,5,880000
2026-06-30,6,1670000
2026-06-30,7,1620000
2026-06-30,8,1590000
2026-06-30,9,1430000
2026-06-30,10,1520000
2026-06-30,11,1500000
2026-06-30,12,1400000
2026-06-30,13,1170000
2026-06-30,14,1150000
2026-07-31,1,1260000
2026-07-31,2,1190000
2026-07-31,3,1140000
2026-07-31,4,1090000
2026-07-31,5,870000
2026-07-31,6,1670000
2026-07-31,7,1620000
2026-07-31,8,1580000
2026-07-31,9,1430000
2026-07-31,10,1520000
2026-07-31,11,1490000
2026-07-31,12,1400000
2026-07-31,13,1170000
2026-07-31,14,1140000
2026-08-31,1,1250000
2026-08-31,2,1190000
2026-08-31,3,1140000
2026-08-31,4,1090000
2026-08-31,5,870000
2026-08-31,6,1660000
2026-08-31,7,1610000
2026-08-31,8,1580000
2026-08-31,9,1420000
2026-08-31,10,1510000
2026-08-31,11,1490000
2026-08-31,12,1390000
2026-08-31,13,1160000
2026-08-31,14,1140000
2026-09-30,1,1270000
2026-09-30,2,1210000
2026-09-30,3,1160000
2026-09-30,4,1110000
2026-09-30,5,880000
2026-09-30,6,1690000
2026-09-30,7,1640000
2026-09-30,8,1600000
2026-09-30,9,1450000
2026-09-30,10,1540000
2026-09-30,11,1510000
2026-09-30,12,1410000
2026-09-30,13,1180000
2026-09-30,14,1160000
2026-10-31,1,1310000
2026-10-31,2,1240000
2026-10-31,3,1190000
2026-10-31,4,1140000
2026-10-31,5,910000
2026-10-31,6,1730000
2026-10-31,7,1680000
2026-10-31,8,1650000
2026-10-31,9,1490000
2026-10-31,10,1580000
2026-10-31,11,1550000
2026-10-31,12,1450000
2026-10-31,13,1210000
2026-10-31,14,1190000
2026-11-30,1,1350000
2026-11-30,2,1280000
2026-11-30,3,1230000
2026-11-30,4,1170000
2026-11-30,5,940000
2026-11-30,6,1790000
2026-11-30,7,1730000
2026-11-30,8,1700000
2026-11-30,9,1530000
2026-11-30,10,1630000
2026-11-30,11,1600000
2026-11-30,12,1500000
2026-11-30,13,1250000
2026-11-30,14,1230000
2026-12-31,1,1400000
2026-12-31,2,1330000
2026-12-31,3,1270000
2026-12-31,4,1220000
2026-12-31,5,970000
2026-12-31,6,1850000
2026-12-31,7,1800000
2026-12-31,8,1760000
2026-12-31,9,1590000
2026-12-31,10,1690000
2026-12-31,11,1660000
2026-12-31,12,1550000
2026-12-31,13,1300000
2026-12-31,14,1270000
